"class_id","class_name","crop_en","crop_ar","disease_en","disease_ar","status","pathogen_en","pathogen_ar","symptoms_en","symptoms_ar","environmental_factors_en","environmental_factors_ar","predisposing_stress_en","predisposing_stress_ar","chemical_treatment_en","chemical_treatment_ar","organic_treatment_en","organic_treatment_ar","prevention_en","prevention_ar","severity","season_en","season_ar","source_url"
"0","Apple___Apple_scab","Apple","تفاح","Apple Scab","جرب التفاح","diseased","Fungus: Venturia inaequalis","فطر: Venturia inaequalis","Olive-green velvety spots with fringed borders on leaves; turn brown/black, cause yellowing and drop. Fruit develops corky, cracked spots.","بقع مخملية خضراء زيتونية ذات حواف مهدبة على الأوراق، تتحول للبني/الأسود وتسبب اصفرار وسقوط الورق. الثمار تصاب بتشققات فلينية.","Cool, wet spring weather; prolonged leaf wetness; high humidity.","طقس ربيعي بارد ورطب، وبقاء الأوراق مبللة فترة طويلة، رطوبة مرتفعة.","Dense canopy, poor air circulation, infected fallen leaves left on ground.","كثافة المجموع الخضري، ضعف التهوية، ترك الأوراق المصابة الساقطة على الأرض.","Captan, myclobutanil, or mancozeb applied at green-tip through petal fall; rotate FRAC groups to prevent resistance.","كابتان أو مايكلوبوتانيل أو مانكوزيب من مرحلة البرعم الأخضر حتى سقوط البتلات؛ مع تبديل مجموعات الـ FRAC لمنع المقاومة.","Sulfur or copper sprays at early bud stage; lime-sulfur as a dormant spray.","رش الكبريت أو النحاس في مرحلة البرعم المبكرة؛ رش الكبريت الجيري في فترة السكون.","Rake and destroy fallen leaves, prune for airflow, plant resistant cultivars (Liberty, Enterprise, Freedom).","جمع وإتلاف الأوراق الساقطة، التقليم لتحسين التهوية، زراعة أصناف مقاومة (Liberty, Enterprise, Freedom).","High","Spring and early summer","الربيع وبداية الصيف","https://extension.umn.edu/plant-diseases/apple-scab"
"1","Apple___Black_rot","Apple","تفاح","Black Rot (Frogeye Leaf Spot)","العفن الأسود (بقعة عين الضفدع)","diseased","Fungus: Diplodia seriata (syn. Botryosphaeria obtusa)","فطر: Diplodia seriata (المسمى سابقًا Botryosphaeria obtusa)","Frogeye leaf spot: circular spots with purple edges and tan centers. Fruit shows brown rot with concentric rings at blossom end. Sunken cankers on branches.","بقعة عين الضفدع: بقع دائرية بأطراف بنفسجية ومراكز بنية فاتحة. تعفن بني مع حلقات دائرية على الثمار من جهة الزهرة. تقرحات غائرة في الأفرع.","Warm, humid summers; wounds on bark; freeze damage; previous infections left in orchard.","صيف دافئ رطب، جروح في اللحاء، أضرار صقيع، عدوى سابقة متروكة في البستان.","Drought stress, winter injury, nutrient deficiency (especially potassium), dead wood.","إجهاد جفاف، إصابة شتوية، نقص عناصر (خاصة البوتاسيوم)، خشب ميت.","Captan, thiophanate-methyl, or strobilurins (Pristine, Merivon) if sanitation fails.","كابتان أو ثيوفانات ميثيل أو ستروبيلورينات (Pristine, Merivon) عند فشل النظافة الزراعية.","Copper or sulfur sprays; remove mummified fruit and prune out cankers.","رش النحاس أو الكبريت، إزالة الثمار الجافة وتقليم التقرحات.","Sanitation is primary: prune dead wood, remove mummies, dispose of pruning debris; avoid tree stress.","النظافة أولًا: تقليم الخشب الميت، إزالة الثمار المحنطة، التخلص من مخلفات التقليم، تجنب إجهاد الأشجار.","Medium","Late summer through fall","أواخر الصيف وحتى الخريف","https://extension.umn.edu/plant-diseases/black-rot-apple"
"2","Apple___Cedar_apple_rust","Apple","تفاح","Cedar Apple Rust","صدأ التفاح والأرز (سيدر)","diseased","Fungus: Gymnosporangium juniperi-virginianae (requires both apple and juniper/cedar hosts)","فطر: Gymnosporangium juniperi-virginianae (يحتاج إلى عائلَين: تفاح وجونيبر/سيدر)","Bright orange-yellow spots on upper leaf surface; tube-like structures (aecia) on lower surface; deformed fruit on blossom end.","بقع برتقالية-صفراء لامعة على السطح العلوي للورقة، تراكيب أنبوبية (aecia) على السطح السفلي، تشوه الثمار من جهة الزهرة.","Wet spring; proximity to juniper/eastern red cedar trees (within 1-2 miles).","ربيع ممطر، وجود أشجار الأرز أو العرعر قريبة (على بعد 1-2 ميل).","Alternate host (juniper) nearby is required for disease cycle; no cedar = no disease.","وجود العائل البديل (العرعر/السيدر) ضروري لدورة المرض؛ بدون العرعر لا يوجد مرض.","Mancozeb or myclobutanil from pink-bud stage through first cover spray.","مانكوزيب أو مايكلوبوتانيل من مرحلة البرعم الوردي وحتى أول رشة تغطية.","Sulfur sprays; prune galls from nearby junipers before April 1.","رش الكبريت، إزالة التورمات (galls) من أشجار العرعر قبل 1 أبريل.","Plant resistant varieties (Liberty, Freedom, William's Pride); remove cedar/juniper trees near orchard when possible.","زراعة أصناف مقاومة (Liberty, Freedom, William's Pride)، إزالة أشجار العرعر القريبة إن أمكن.","Medium","Spring (April–June)","الربيع (أبريل-يونيو)","https://extension.umn.edu/plant-diseases/cedar-apple-rust"
"3","Apple___healthy","Apple","تفاح","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
"4","Blueberry___healthy","Blueberry","توت أزرق","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
"5","Cherry___Powdery_mildew","Cherry","كرز","Powdery Mildew","البياض الدقيقي","diseased","Fungus: Podosphaera clandestina","فطر: Podosphaera clandestina","White powdery fungal growth on leaves and shoots; leaves curl upward; new shoots stunted; fruit develops white patches.","نموات فطرية بيضاء دقيقية على الأوراق والأفرع، التفاف الأوراق للأعلى، تقزم الأفرع الجديدة، ظهور بقع بيضاء على الثمار.","Warm days (20–27°C) with cool nights; dry conditions (unlike most fungi, does not need wet leaves).","نهار دافئ (20-27°م) وليل بارد، ظروف جافة (على عكس معظم الفطريات، لا يحتاج بلل الأوراق).","Shaded, dense canopies; excess nitrogen fertilization; poor air circulation.","المجموع الخضري المتشابك المظلّل، الإفراط في التسميد الآزوتي، ضعف التهوية.","FRAC Group 3, 7, or 11 fungicides; Quintec (FRAC 13) or Vivando (FRAC 50) starting at petal fall.","مبيدات من مجموعة FRAC 3 أو 7 أو 11، Quintec (FRAC 13) أو Vivando (FRAC 50) بدءًا من سقوط البتلات.","Sulfur sprays, potassium bicarbonate, horticultural oils, milk solution (1:9 with water).","رش الكبريت، بيكربونات البوتاسيوم، الزيوت البستانية، محلول الحليب (1 : 9 مع الماء).","Prune for good airflow; avoid excess nitrogen; plant resistant cultivars; morning irrigation only.","التقليم لتهوية جيدة، تجنب الإفراط في الآزوت، زراعة أصناف مقاومة، الري صباحًا فقط.","Medium","Late spring through summer","أواخر الربيع حتى الصيف","https://treefruit.wsu.edu/crop-protection/disease-management/cherry-powdery-mildew/"
"6","Cherry___healthy","Cherry","كرز","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
"7","Corn___Cercospora_leaf_spot","Corn (Maize)","ذرة","Gray Leaf Spot (Cercospora)","بقعة الأوراق الرمادية (سركوسبورا)","diseased","Fungus: Cercospora zeae-maydis","فطر: Cercospora zeae-maydis","Small pinpoint lesions with yellow halos that elongate into narrow rectangular brown-gray lesions restricted by leaf veins.","بقع صغيرة دقيقة بهالة صفراء تمتد لتصبح بقع مستطيلة رفيعة بنية-رمادية محصورة بين عروق الأوراق.","High humidity (>90%), warm temperatures (25-30°C), prolonged leaf wetness, continuous corn cropping.","رطوبة عالية (>90%)، حرارة 25-30°م، بقاء الأوراق مبللة طويلًا، زراعة الذرة بشكل متواصل.","No-till farming + continuous corn + dense planting; high residue levels harbor the fungus.","الزراعة بدون حرث + ذرة متواصلة + زراعة كثيفة؛ بقايا المحصول تحمل الفطر.","Propiconazole, mancozeb, or strobilurins (FRAC 11) applied at VT-R1 when lesions cover 2-3% of lower leaves.","بروبيكونازول أو مانكوزيب أو ستروبيلورينات (FRAC 11) عند مرحلة VT-R1 عندما تصيب البقع 2-3% من الأوراق السفلية.","Crop rotation (1-2 years), tillage to bury residue, resistant hybrids.","دورة زراعية (1-2 سنة)، حرث لدفن البقايا، هجن مقاومة.","Plant resistant hybrids, rotate with non-host crops, avoid excessive no-till in high-risk fields.","زراعة هجن مقاومة، التناوب مع محاصيل غير عائلة، تجنب الاعتماد المفرط على عدم الحرث في الحقول عالية الخطورة.","High","Mid to late summer","منتصف إلى أواخر الصيف","https://extension.umn.edu/corn-pest-management/gray-leaf-spot-corn"
"8","Corn___Common_rust","Corn (Maize)","ذرة","Common Rust","الصدأ الشائع","diseased","Fungus: Puccinia sorghi","فطر: Puccinia sorghi","Chlorotic flecks developing into brick-red, powdery, oval pustules on both leaf surfaces; pustules ~3mm long.","نقط صفراء تتطور إلى بثرات بودرية بيضاوية لون طوب أحمر على سطحي الورقة، حجم البثرة حوالي 3 مم.","Cool (16-23°C) and humid conditions (100% humidity for 6+ hours); spores carried from southern regions by wind.","ظروف باردة (16-23°م) ورطبة (رطوبة 100% لأكثر من 6 ساعات)، الأبواغ تُحمل من المناطق الجنوبية بالرياح.","Susceptible hybrids and cool weather during silking stage.","الهجن القابلة للإصابة والطقس البارد خلال مرحلة تكوين الحرير.","Strobilurins or triazoles (propiconazole, azoxystrobin) applied early when few pustules present.","ستروبيلورينات أو تريازولات (بروبيكونازول، أزوكسيستروبين) تطبَّق مبكرًا عند وجود عدد قليل من البثرات.","Usually not needed in field corn; use resistant hybrids.","غالبًا لا حاجة لذلك في ذرة الحقل، يُكتفى باستخدام هجن مقاومة.","Use resistant hybrids (Rp-genes); scout early; fungicide only if disease appears before tasseling.","استخدام هجن مقاومة (جينات Rp)، الكشف المبكر، تطبيق المبيد فقط إذا ظهر المرض قبل التزهير الذكري.","Medium","Early to mid summer","بداية إلى منتصف الصيف","https://extension.umn.edu/corn-pest-management/common-rust-corn"
"9","Corn___Northern_Leaf_Blight","Corn (Maize)","ذرة","Northern Corn Leaf Blight","لفحة الذرة الشمالية","diseased","Fungus: Exserohilum turcicum (syn. Setosphaeria turcica)","فطر: Exserohilum turcicum","Long, cigar-shaped, grayish-green to tan lesions (2-15 cm) parallel to leaf margins; dark spores visible with hand lens.","بقع طويلة على شكل سيجار، رمادية-خضراء إلى بنية فاتحة (2-15 سم) موازية لحواف الورقة، يمكن رؤية الأبواغ الداكنة بالعدسة.","Moderate temperatures (18-27°C), high humidity, heavy dews, extended leaf wetness >6 hours.","حرارة معتدلة (18-27°م)، رطوبة عالية، ندى كثيف، بقاء الأوراق مبللة أكثر من 6 ساعات.","Continuous corn, susceptible hybrids, reduced tillage leaves infected residue on surface.","الذرة المتواصلة، الهجن القابلة للإصابة، الحرث المحدود يترك البقايا المصابة على السطح.","Flutriafol, propiconazole, or pyraclostrobin from V8 to tasseling stage under high pressure.","Flutriafol أو بروبيكونازول أو بيراكلوستروبين من مرحلة V8 حتى التزهير تحت ضغط مرض عالٍ.","Crop rotation + tillage + resistant hybrids; no effective organic spray.","دورة زراعية + حرث + هجن مقاومة؛ لا يوجد رش عضوي فعال.","Plant resistant hybrids (Ht1, Ht2, Ht3, HtN genes), rotate crops, plow under residue.","زراعة هجن مقاومة (جينات Ht1, Ht2, Ht3, HtN)، التناوب المحصولي، حرث البقايا.","High","Mid to late summer","منتصف إلى أواخر الصيف","https://extension.umn.edu/corn-pest-management/northern-corn-leaf-blight"
"10","Corn___healthy","Corn (Maize)","ذرة","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
"11","Grape___Black_rot","Grape","عنب","Black Rot","العفن الأسود","diseased","Fungus: Guignardia bidwellii (anamorph: Phyllosticta ampelicida)","فطر: Guignardia bidwellii","Small yellow leaf spots enlarging to lesions with reddish-brown borders and tan centers with ringed black pycnidia; berries shrivel into black mummies.","بقع صفراء صغيرة على الأوراق تتسع إلى بقع بإطار بني محمر ومركز فاتح مع نقاط سوداء دائرية (pycnidia)؛ الحبات تتحول إلى مومياء سوداء مجففة.","Warm (20-32°C) and humid weather; 6+ hours of wetness needed for infection.","طقس دافئ (20-32°م) ورطب؛ يحتاج إلى بلل مستمر 6 ساعات أو أكثر للإصابة.","Infected mummies from prior year left on vines/ground are the main inoculum source.","المومياوات المصابة من العام السابق المتروكة على الكرمة/الأرض هي المصدر الرئيسي للعدوى.","Mancozeb, myclobutanil, or pyraclostrobin from 2-3 weeks before bloom through 4-6 weeks after bloom.","مانكوزيب أو مايكلوبوتانيل أو بيراكلوستروبين من 2-3 أسابيع قبل التزهير حتى 4-6 أسابيع بعد التزهير.","Copper, sulfur sprays; remove all mummies before spring bud break.","رش النحاس أو الكبريت، إزالة جميع المومياوات قبل تفتح البراعم الربيعية.","Sanitation (remove mummies and debris), canopy management for airflow, protective fungicide program.","النظافة (إزالة المومياوات والبقايا)، إدارة المجموع الخضري للتهوية، برنامج مبيدات وقائية.","High","Spring to early summer","الربيع إلى بداية الصيف","https://ohioline.osu.edu/factsheet/plpath-fru-24"
"12","Grape___Esca","Grape","عنب","Esca (Black Measles)","إسكا (الحصبة السوداء)","diseased","Fungal complex: Phaeoacremonium spp. + Phaeomoniella chlamydospora + Fomitiporia mediterranea","مجموعة فطرية: Phaeoacremonium spp. + Phaeomoniella chlamydospora + Fomitiporia mediterranea","Interveinal 'tiger stripe' pattern on leaves (yellow in white varieties, red in red varieties); dark spots on berries; internal wood darkening.","نمط ""خطوط النمر"" بين العروق (أصفر في الأصناف البيضاء، أحمر في الأصناف الحمراء)، بقع داكنة على الحبات، سواد داخلي في الخشب.","Pathogens enter via pruning wounds; infection favored by wet weather after pruning.","المسببات تدخل عبر جروح التقليم؛ العدوى تنشط في طقس رطب بعد التقليم.","Drought stress + pruning wounds during wet weather; old vines (>10 years) more susceptible.","إجهاد الجفاف + جروح التقليم في الطقس الرطب؛ الكرمات القديمة (>10 سنوات) أكثر قابلية.","Only thiophanate-methyl approved for wound protection; no cure once vine is systemic.","ثيوفانات ميثيل فقط مسموح به لحماية الجروح؛ لا يوجد علاج بعد إصابة الكرمة جهازيًا.","Trichoderma-based biocontrol paints on pruning wounds; trunk renewal (cut infected section and retrain).","دهانات حيوية ببكتيريا Trichoderma على جروح التقليم، تجديد الجذع (قطع الجزء المصاب وإعادة التربية).","Prune during dry weather; protect pruning wounds; avoid large cuts on older vines; remove symptomatic vines.","التقليم في الجو الجاف، حماية جروح التقليم، تجنب القطوع الكبيرة في الكرمات الكبيرة، إزالة الكرمات المريضة.","High","Symptoms appear July–August","الأعراض تظهر يوليو-أغسطس","https://ipm.ucanr.edu/agriculture/grape/esca-black-measles/"
"13","Grape___Leaf_blight","Grape","عنب","Leaf Blight (Isariopsis Leaf Spot)","لفحة الأوراق (بقعة إزاريوبسيز)","diseased","Fungus: Pseudocercospora vitis (formerly Isariopsis clavispora)","فطر: Pseudocercospora vitis (اسمه سابقًا Isariopsis clavispora)","Large irregular spots, initially dull red to brown, turning black and brittle with age. Usually appears late in season.","بقع كبيرة غير منتظمة، تبدأ حمراء باهتة إلى بنية، ثم تسودّ وتصبح هشة. عادة تظهر أواخر الموسم.","Warm, humid conditions late in the growing season; poor spray coverage.","ظروف دافئة ورطبة أواخر الموسم، ضعف تغطية الرش.","Neglected or poorly sprayed vineyards; late-season vigor loss.","كروم مهملة أو ضعيفة الرش، ضعف نشاط الكرمة أواخر الموسم.","Copper fungicides (Bordeaux mixture) applied late in season after fruiting.","مبيدات نحاسية (مخلوط بوردو) تطبَّق أواخر الموسم بعد الإثمار.","Copper sprays; lemongrass essential oil has shown efficacy in trials.","رش النحاس، زيت الليمون الأساسي أثبت فعالية في التجارب.","Canopy management (shoot thinning, leaf removal), maintain regular fungicide schedule through late season.","إدارة المجموع الخضري (تقليم الأفرع، إزالة الأوراق)، الحفاظ على جدول مبيدات منتظم حتى أواخر الموسم.","Low","Late summer to fall","أواخر الصيف إلى الخريف","https://plantvillage.psu.edu/topics/grape/infos/diseases_and_pests_description_uses_propagation"
