"class_id","class_name","crop_en","crop_ar","disease_en","disease_ar","status","pathogen_en","pathogen_ar","symptoms_en","symptoms_ar","environmental_factors_en","environmental_factors_ar","predisposing_stress_en","predisposing_stress_ar","chemical_treatment_en","chemical_treatment_ar","organic_treatment_en","organic_treatment_ar","prevention_en","prevention_ar","severity","season_en","season_ar","source_url"
"29","Tomato___Early_blight","Tomato","طماطم","Early Blight","اللفحة المبكرة","diseased","Fungi: Alternaria solani / Alternaria tomatophila","فطر: Alternaria solani / Alternaria tomatophila","Target-like lesions with concentric rings on older leaves first; yellow halo; stem and fruit lesions at blossom/stem end.","بقع بحلقات دائرية (هدفية) على الأوراق القديمة أولًا، بهالة صفراء، بقع على السيقان والثمار من جهة القمة/الذيل.","Warm (27-30°C), humid (>90% RH), heavy dew; attacks stressed or mature plants.","حرارة 27-30°م، رطوبة >90%، ندى كثيف، يهاجم النباتات المجهدة أو الناضجة.","Nitrogen deficiency, heavy fruit load, drought stress, overhead irrigation, crowded plants.","نقص الآزوت، حمل ثمري ثقيل، إجهاد جفاف، ري علوي، زراعة كثيفة.","Chlorothalonil, mancozeb, or azoxystrobin on 7-14 day schedule; rotate FRAC codes.","كلوروثالونيل أو مانكوزيب أو أزوكسيستروبين كل 7-14 يوم، مع تبديل مجموعات الـ FRAC.","Copper sprays, Bacillus subtilis, remove lower leaves, mulch to prevent splash.","رش النحاس، Bacillus subtilis، إزالة الأوراق السفلى، تغطية التربة لمنع التناثر.","Stake and prune lower leaves; mulch; 2-year rotation; balanced fertilization; resistant varieties (Mountain Magic, Iron Lady).","تعريش وإزالة الأوراق السفلى، تغطية التربة، دورة زراعية سنتين، تسميد متوازن، أصناف مقاومة (Mountain Magic, Iron Lady).","High","Mid to late summer","منتصف إلى أواخر الصيف","https://extension.umn.edu/disease-management/early-blight-tomato-and-potato"
"30","Tomato___Late_blight","Tomato","طماطم","Late Blight","اللفحة المتأخرة","diseased","Oomycete: Phytophthora infestans","عضو الأومِسيتات: Phytophthora infestans","Large water-soaked dark lesions on leaves and stems; white downy sporulation on undersides; firm brown greasy-looking patches on fruit; can kill whole plant in days.","بقع كبيرة مشبعة بالماء داكنة على الأوراق والسيقان، زغب أبيض من الأسفل، بقع بنية صلبة ذات مظهر دهني على الثمار، يمكن أن يقتل النبات خلال أيام.","Cool (15-20°C), wet, humid, foggy weather; rapid spread by wind-borne sporangia.","طقس بارد (15-20°م) رطب ضبابي، الانتشار سريع عبر الأبواغ المحمولة بالرياح.","Proximity to infected potatoes, tomato cull piles, or volunteer plants; overhead irrigation.","قرب بطاطس مصابة، أكوام طماطم مستبعدة، أو نباتات عفوية، ري علوي.","Protectant (mancozeb, chlorothalonil) + systemic (mandipropamid, cymoxanil) every 5-7 days under high pressure.","وقائي (مانكوزيب، كلوروثالونيل) + جهازي (mandipropamid, cymoxanil) كل 5-7 أيام تحت الضغط العالي.","Copper hydroxide preventively every 5 days; destroy infected plants immediately; no organic cure.","هيدروكسيد النحاس وقائيًا كل 5 أيام، إتلاف النباتات المصابة فورًا، لا يوجد علاج عضوي شافي.","Certified clean transplants; resistant varieties (Mountain Magic, Defiant PhR); drip irrigation; monitor USABlight forecasts.","شتلات معتمدة نظيفة، أصناف مقاومة (Mountain Magic, Defiant PhR)، ري بالتنقيط، متابعة تنبؤات USABlight.","High","Cool wet periods (spring/fall)","الفترات الباردة الرطبة (ربيع/خريف)","https://www.vegetables.cornell.edu/pest-management/disease-factsheets/late-blight/"
"31","Tomato___Leaf_Mold","Tomato","طماطم","Leaf Mold","عفن الأوراق","diseased","Fungus: Passalora fulva (syn. Fulvia fulva, Cladosporium fulvum)","فطر: Passalora fulva (الاسم السابق: Fulvia fulva أو Cladosporium fulvum)","Pale green-yellow spots on upper leaf surface; olive-green to brown velvety mold on lower surface; leaves curl and drop; mostly in greenhouses/high tunnels.","بقع خضراء-صفراء باهتة على السطح العلوي، عفن مخملي زيتوني إلى بني على السطح السفلي، الأوراق تلتفّ وتسقط، شائع في الصوبات.","High humidity (>85%), moderate temperatures (22-24°C), poor ventilation, still air.","رطوبة عالية (>85%)، حرارة معتدلة (22-24°م)، ضعف التهوية، هواء راكد.","Enclosed structures, overhead watering, dense planting, low light.","الصوبات المغلقة، الري العلوي، الزراعة الكثيفة، ضعف الإضاءة.","Chlorothalonil or mancozeb; rotate with strobilurins (azoxystrobin) if resistance is not yet present.","كلوروثالونيل أو مانكوزيب، مع تبديل مع ستروبيلورينات (أزوكسيستروبين) إذا لم تظهر المقاومة.","Copper sprays (Champ 30 WG); Zonix (rhamnolipid); proper ventilation and pruning.","رش النحاس (Champ 30 WG)، Zonix (rhamnolipid)، تهوية وتقليم مناسبين.","Ventilate greenhouses; prune lower leaves; space plants; drip irrigation; resistant varieties (Red Mountain, Primo Red, Mountain Spring).","تهوية الصوبات، تقليم الأوراق السفلى، مسافات زراعة، ري بالتنقيط، أصناف مقاومة (Red Mountain, Primo Red, Mountain Spring).","Medium","Greenhouse seasons; cool wet periods","مواسم الصوبات، الفترات الباردة الرطبة","https://extension.umn.edu/disease-management/tomato-leaf-mold"
"32","Tomato___Septoria_leaf_spot","Tomato","طماطم","Septoria Leaf Spot","بقعة سبتوريا الورقية","diseased","Fungus: Septoria lycopersici","فطر: Septoria lycopersici","Many small (~1/4 inch) circular spots with dark borders and pale gray/tan centers; black pycnidia visible in centers; starts on lower leaves; severe defoliation.","بقع دائرية صغيرة كثيرة (~6 مم) بحواف داكنة ومراكز رمادية/فاتحة، نقاط سوداء (pycnidia) مرئية في المراكز، تبدأ من الأوراق السفلى، تسبب تساقط شديد للأوراق.","Warm (15-27°C), humid (>90% RH), wet conditions; spreads as canopy closes.","طقس دافئ (15-27°م)، رطب (>90%)، ينتشر عند انغلاق المجموع الخضري.","Dense canopy, water splash from soil, infected weeds (nightshade family), debris from previous season.","مجموع خضري كثيف، تناثر الماء من التربة، أعشاب مصابة (فصيلة الباذنجان)، بقايا من الموسم السابق.","Chlorothalonil, mancozeb, or copper-based fungicides weekly starting early, before severe symptoms.","كلوروثالونيل أو مانكوزيب أو مبيدات نحاسية أسبوعيًا بدءًا مبكرًا قبل ظهور أعراض شديدة.","Copper + Bacillus subtilis; remove infected lower leaves; mulch heavily.","النحاس + Bacillus subtilis، إزالة الأوراق السفلى المصابة، تغطية التربة بطبقة سميكة.","Mulch, stake plants, 2-year rotation, weed control (nightshades), avoid overhead watering, resistant varieties.","تغطية التربة، تعريش، دورة زراعية سنتين، مكافحة الحشائش (الباذنجانيات)، تجنب الري العلوي، أصناف مقاومة.","High","Mid summer onward","من منتصف الصيف","https://extension.umn.edu/plant-diseases/tomato-leaf-spot-diseases"
"33","Tomato___Spider_mites","Tomato","طماطم","Two-Spotted Spider Mite","العنكبوت الأحمر ذو البقعتين","diseased","Pest (mite): Tetranychus urticae","آفة (عنكبوت): Tetranychus urticae","Tiny white/yellow stippling on leaves; leaves bronze/bleach and drop; fine webbing on undersides in heavy infestations; 'gold fleck' on fruit.","نقط بيضاء/صفراء دقيقة على الأوراق، الأوراق تبرنزت/تبيضّ وتسقط، نسيج عنكبوتي دقيق تحت الأوراق في الإصابة الشديدة، نقط ذهبية على الثمار.","Hot (>27°C), dry, dusty conditions; drought-stressed plants; indoor or greenhouse environments.","ظروف حارة (>27°م) جافة مغبرة، نباتات مجهدة بالجفاف، بيئات داخلية أو صوبات.","Drought stress, dusty conditions, broad-spectrum insecticide use killing natural predators.","إجهاد الجفاف، الظروف المغبرة، استخدام مبيدات واسعة الطيف تقتل الأعداء الطبيعية.","Miticides (bifenazate, abamectin, spiromesifen, etoxazole) rotated; use ONLY when needed.","مبيدات العناكب (bifenazate, abamectin, spiromesifen, etoxazole) مع التبديل، تُستخدم عند الحاجة فقط.","Water jet (strong spray), insecticidal soap, neem oil, horticultural oils; release Phytoseiulus persimilis (predatory mite).","رش ماء قوي، صابون حشري، زيت النيم، زيوت بستانية، إطلاق Phytoseiulus persimilis (عنكبوت مفترس).","Keep plants well-watered; wet pathways to reduce dust; avoid broad-spectrum insecticides; early monitoring with hand lens.","الحفاظ على الري الجيد، ترطيب الممرات لتقليل الغبار، تجنب المبيدات واسعة الطيف، المراقبة المبكرة بعدسة يدوية.","Medium","Hot dry summer","الصيف الحار الجاف","https://extension.umn.edu/yard-and-garden-insects/spider-mites"
"34","Tomato___Target_Spot","Tomato","طماطم","Target Spot","البقعة الهدفية","diseased","Fungus: Corynespora cassiicola","فطر: Corynespora cassiicola","Small brown spots on leaves with light centers; can show concentric rings; fruit has small dark sunken spots that enlarge and crack open as fruit ripens.","بقع بنية صغيرة على الأوراق بمركز فاتح، قد تظهر بحلقات دائرية، بقع داكنة غائرة صغيرة على الثمار تتسع وتتشقق أثناء النضج.","Warm (20-30°C) humid weather; heavy dew; extended wet periods; common in Florida/tropical tomato production.","طقس دافئ (20-30°م) رطب، ندى كثيف، فترات رطبة طويلة، شائع في إنتاج طماطم فلوريدا/الاستوائي.","Dense plantings, overhead irrigation, continuous tomato cropping, greenhouse conditions.","زراعة كثيفة، ري علوي، زراعة طماطم متواصلة، ظروف الصوبات.","Chlorothalonil, mancozeb, or strobilurins (pyraclostrobin, azoxystrobin); rotate FRAC groups.","كلوروثالونيل أو مانكوزيب أو ستروبيلورينات (pyraclostrobin, azoxystrobin)، مع تبديل مجموعات الـ FRAC.","Copper sprays; Bacillus subtilis; remove infected leaves; destroy debris.","رش النحاس، Bacillus subtilis، إزالة الأوراق المصابة، إتلاف البقايا.","Crop rotation, drip irrigation, airflow management, plant spacing, resistant cultivars where available.","دورة زراعية، ري بالتنقيط، إدارة التهوية، مسافات زراعة، أصناف مقاومة حيث تتوفر.","Medium","Warm wet periods","الفترات الدافئة الرطبة","https://ipm.ifas.ufl.edu/pdfs/Target_Spot.pdf"
"35","Tomato___Tomato_Yellow_Leaf_Curl_Virus","Tomato","طماطم","Tomato Yellow Leaf Curl Virus (TYLCV)","فيروس تجعد واصفرار أوراق الطماطم","diseased","Virus: TYLCV (Begomovirus); vectored by silverleaf whitefly Bemisia tabaci","فيروس: TYLCV (بيجوموفيروس)، تنقله الذبابة البيضاء Bemisia tabaci","Severe stunting; small upward-curled leaves with yellow margins; shortened internodes; flower drop; few or no fruit if infected young.","تقزم شديد، أوراق صغيرة ملتفة للأعلى بحواف صفراء، سلاميات قصيرة، تساقط الأزهار، إنتاج ضعيف أو معدوم إذا أُصيب النبات صغيرًا.","Hot, dry regions favor whitefly reproduction; no direct environmental trigger beyond vector presence.","المناطق الحارة الجافة تساعد تكاثر الذبابة البيضاء، لا يوجد محفز بيئي مباشر سوى وجود الناقل.","Proximity to infected tomato or weed hosts; heavy whitefly pressure; no temporal break from tomato cropping.","قرب نباتات طماطم أو أعشاب مصابة، ضغط عالٍ من الذبابة البيضاء، عدم وجود فترة خالية من زراعة الطماطم.","No cure. Control whiteflies with imidacloprid, dinotefuran, spirotetramat; rotate chemistries to prevent resistance.","لا يوجد علاج. مكافحة الذبابة البيضاء بـ imidacloprid, dinotefuran, spirotetramat مع التبديل لمنع المقاومة.","Neem/azadirachtin, insecticidal soap, pyrethrin; metalized/silver reflective mulch to repel whiteflies; yellow sticky traps.","نيم/أزاديراكتين، صابون حشري، بيرثرين، تغطية فضية/معدنية لطرد الذبابة البيضاء، مصائد صفراء لاصقة.","Resistant varieties (Ty-1/Ty-3 genes); tomato-free period (2 months); remove infected plants in sealed bags; reflective mulch.","أصناف مقاومة (جينات Ty-1/Ty-3)، فترة خالية من الطماطم (شهرين)، إزالة النباتات المصابة في أكياس محكمة، تغطية عاكسة.","High","Year-round in warm climates","طوال العام في المناخات الدافئة","https://ipm.ifas.ufl.edu/agricultural_ipm/tylcv_home_mgmt.shtml"
"36","Tomato___Tomato_mosaic_virus","Tomato","طماطم","Tomato Mosaic Virus (ToMV)","فيروس موزاييك الطماطم","diseased","Virus: Tomato Mosaic Virus (Tobamovirus), closely related to TMV","فيروس: Tomato Mosaic Virus (توباموفيروس)، قريب من TMV","Mottled light and dark green leaves; curled, malformed, small leaves; stunted plants if infected early; uneven fruit ripening; internal fruit browning.","تبقع فاتح وداكن من اللون الأخضر على الأوراق، أوراق ملتفة مشوهة صغيرة، تقزم إذا أُصيب مبكرًا، نضج غير منتظم للثمار، اسمرار داخلي للثمار.","Spread mechanically via tools, hands, tobacco products, contaminated seeds; very stable virus persisting in debris for years.","ينتقل ميكانيكيًا عبر الأدوات والأيدي ومنتجات التبغ والبذور الملوثة، فيروس ثابت جدًا يبقى في البقايا لسنوات.","Smoking/handling tobacco while working with plants; using infected seeds or transplants; contaminated tools.","التدخين/التعامل مع التبغ أثناء العمل على النباتات، استخدام بذور أو شتلات مصابة، أدوات ملوثة.","No chemical cure for plant viruses; focus on prevention and vector control.","لا يوجد علاج كيميائي للفيروسات النباتية، ركّز على الوقاية ومكافحة الناقلات.","No organic cure; remove infected plants; disinfect tools with 10% bleach or trisodium phosphate.","لا يوجد علاج عضوي، إزالة النباتات المصابة، تعقيم الأدوات بكلور 10% أو فوسفات ثلاثي الصوديوم.","Resistant varieties (ToMV/Tm-2 gene); certified seed; hot-water seed treatment (50°C, 25 min); no tobacco near plants; wash hands/tools.","أصناف مقاومة (جين ToMV/Tm-2)، بذور معتمدة، معالجة بالماء الساخن (50°م، 25 دقيقة)، منع التبغ قرب النباتات، غسل اليدين والأدوات.","High","All seasons (persistent in debris)","جميع المواسم (يبقى في البقايا)","https://extension.umn.edu/disease-management/tomato-viruses"
"37","Tomato___healthy","Tomato","طماطم","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
"38","Rice___BrownSpot","Rice","أرز","Brown Spot","البقعة البنية","diseased","Fungus: Bipolaris oryzae (syn. Cochliobolus miyabeanus)","فطر: Bipolaris oryzae","Circular to oval brown spots with gray centers and reddish-brown margins on leaves; can also infect glumes, grains, sheaths. Up to 45% yield loss in severe cases.","بقع بنية دائرية إلى بيضاوية بمركز رمادي وحواف بنية محمرة على الأوراق، يصيب كذلك الغلاف والحبوب والأكمام، يسبب خسائر محصول تصل إلى 45%.","Heat (25-30°C), high humidity, prolonged leaf wetness; stagnant water.","حرارة 25-30°م، رطوبة عالية، بقاء الأوراق مبللة، مياه راكدة.","Soil nutrient deficiency (especially nitrogen, potassium, silicon); sandy/saline soils; drought stress — this disease is known as 'poor man's disease' because fertility is the main issue.","نقص مغذيات التربة (خاصة N و K و السيليكون)، تربة رملية/مالحة، إجهاد جفاف، تُعرف بمرض الأرض الفقيرة لأن نقص خصوبة التربة هو السبب الرئيسي.","Propiconazole, iprodione, or mancozeb; seed treatment with carbendazim or thiram.","بروبيكونازول أو إيبروديون أو مانكوزيب، معالجة البذور بالكاربندازيم أو الثيرام.","Apply balanced NPK + silicon; use green manure; hot water seed treatment (53-54°C, 12 min).","تسميد متوازن NPK + سيليكون، استخدام السماد الأخضر، معالجة البذور بالماء الساخن (53-54°م، 12 دقيقة).","Fix soil fertility first! Use resistant varieties; clean seed; balanced fertilization including potassium and silicon.","أصلح خصوبة التربة أولًا! استخدم أصناف مقاومة، بذور نظيفة، تسميد متوازن يشمل البوتاسيوم والسيليكون.","High","All rice growing seasons","جميع مواسم زراعة الأرز","http://www.knowledgebank.irri.org/training/fact-sheets/pest-management/diseases/item/brown-spot"
"39","Rice___Hispa","Rice","أرز","Rice Hispa (Insect Pest)","هِسبا الأرز (آفة حشرية)","diseased","Insect (beetle): Dicladispa armigera","حشرة (خنفساء): Dicladispa armigera","White parallel streaks along leaf veins from surface scraping by adults; translucent patches from larval tunneling. Up to 20% yield loss.","خطوط بيضاء موازية لعروق الأوراق من كشط البالغين للسطح، بقع شفافة من أنفاق اليرقات، خسائر محصول تصل إلى 20%.","Warm humid weather; weedy bunds; high nitrogen applications favor outbreaks.","طقس دافئ رطب، جسور حقول مليئة بالحشائش، التسميد الآزوتي المفرط يزيد تفشيها.","Over-fertilization with nitrogen; wide plant spacing; weedy field borders.","الإفراط في التسميد الآزوتي، مسافات زراعة واسعة، حواف حقول مليئة بالحشائش.","Chlorpyrifos, quinalphos, or monocrotophos when damage exceeds threshold; apply to young adult stage.","كلوربيريفوس أو كوينالفوس أو مونوكروتوفوس عند تجاوز الضرر الحد الاقتصادي، يُطبَّق على مرحلة البالغ الصغير.","Clip and bury infested leaf tips (reduces grubs 75-92%); release egg-parasitic wasps; entomopathogenic fungi (Metarhizium).","قص ودفن أطراف الأوراق المصابة (يقلل اليرقات 75-92%)، إطلاق طفيليات البيض من الزنابير، فطريات ممرضة للحشرات (Metarhizium).","Avoid excessive nitrogen; close plant spacing; weed bunds; scout early; use resistant varieties where available.","تجنب الإفراط في الآزوت، زراعة كثيفة، تنظيف جسور الحقل من الحشائش، الكشف المبكر، أصناف مقاومة حيث تتوفر.","Medium","Wet season (monsoon)","الموسم الرطب (الموسمي)","http://www.knowledgebank.irri.org/training/fact-sheets/pest-management/insects/item/rice-hispa"
"40","Rice___LeafBlast","Rice","أرز","Rice Blast (Leaf)","لفحة الأرز (الأوراق)","diseased","Fungus: Magnaporthe oryzae (anamorph: Pyricularia oryzae)","فطر: Magnaporthe oryzae (الشكل اللاجنسي: Pyricularia oryzae)","Diamond-shaped spots with gray-white centers and brown borders on leaves; can appear on nodes ('rotten neck') causing whole panicle loss. Most devastating rice disease globally.","بقع ماسية الشكل بمركز رمادي-أبيض وإطار بني على الأوراق، قد تظهر على العقد (رقبة متعفنة) فتسبب خسارة السنبلة كلها. أخطر مرض للأرز عالميًا.","Cool nights, heavy dew, extended leaf wetness >6 hours; low soil moisture; high nitrogen.","ليالي باردة، ندى كثيف، بقاء الأوراق مبللة >6 ساعات، انخفاض رطوبة التربة، إفراط في الآزوت.","Excessive nitrogen fertilization (the #1 trigger), drought stress during growing period, upland rice, dense seeding.","الإفراط في التسميد الآزوتي (السبب الأول)، إجهاد الجفاف أثناء النمو، الأرز المرتفع، كثافة البذر العالية.","Tricyclazole, isoprothiolane, azoxystrobin, or carpropamid; apply at tillering and booting stages.","تريسيكلازول أو إيزوبروثيولان أو أزوكسيستروبين أو كاربروباميد، يُطبَّق في مرحلة التفريع والتطاول.","Silicon amendments (harden cell walls); balanced nitrogen (split applications); resistant varieties.","إضافة السيليكون (يقوي جدران الخلايا)، تسميد آزوتي متوازن (جرعات مقسمة)، أصناف مقاومة.","Split nitrogen applications; maintain flooding; use blast-resistant varieties (IR64, Tetep); clean seed; destroy stubble.","تسميد آزوتي على جرعات، الحفاظ على الغمر، استخدام أصناف مقاومة للبلاست (IR64, Tetep)، بذور نظيفة، إتلاف القش.","High","Cool humid periods; both wet and dry seasons","الفترات الباردة الرطبة، في كل من الموسمين الرطب والجاف","http://www.knowledgebank.irri.org/training/fact-sheets/pest-management/diseases/item/blast-leaf-collar"
"41","Rice___Healthy","Rice","أرز","Healthy","سليم","healthy","None","لا يوجد","Uniform green leaves, firm stems, no spots, lesions, mold, or curling.","أوراق خضراء موحدة، سيقان قوية، بدون بقع أو تقرحات أو عفن أو التفاف.","Adequate sunlight, balanced irrigation, good air circulation, moderate humidity.","ضوء شمس كافٍ، ري متوازن، تهوية جيدة، رطوبة معتدلة.","None detected. Maintain balanced N-P-K and avoid waterlogging.","لا يوجد إجهاد. حافظ على توازن NPK وتجنب ركود الماء.","Not required.","غير مطلوب.","Preventive only: compost, mulching, foliar seaweed extract if needed.","وقائي فقط: كمبوست، تغطية التربة، رش مستخلص أعشاب بحرية عند الحاجة.","Continue good agricultural practice: crop rotation, sanitation, resistant cultivars.","استمر في الممارسات الجيدة: دورة زراعية، نظافة، أصناف مقاومة.","None","All seasons","جميع المواسم","https://www.apsnet.org/edcenter/Pages/default.aspx"
